Trial_ID,Model_Type,Hidden_Dim,Int_Emb_Size,Out_Emb_Size,Num_Before_Skip,Num_After_Skip,Basis_Emb_Size,Num_Radial,Num_Spherical,Num_Conv_Layers,Num_Headlayers,Dim_Headlayers,Learning_Rate,Batch_Size,Validation_Loss,Best_Validation_Loss
43,DimeNet,30.0,32.0,15.0,1.0,1.0,7.0,8.0,4.0,5.0,3.0,"[144, 157, 81]",0.008485137808490847,123.0,4.8664474,
41,DimeNet,27.0,32.0,15.0,2.0,1.0,7.0,9.0,5.0,5.0,3.0,"[130, 157, 80]",0.007684490584787824,61.0,3.8344457,
44,DimeNet,49.0,39.0,12.0,2.0,2.0,5.0,9.0,6.0,4.0,2.0,"[127, 151]",0.006158705363631915,52.0,3.6951554,
40,DimeNet,30.0,39.0,16.0,2.0,2.0,7.0,9.0,6.0,4.0,1.0,[109],0.007519566503903286,38.0,3.7121298,
45,DimeNet,49.0,39.0,12.0,2.0,2.0,10.0,9.0,6.0,3.0,2.0,"[127, 176]",0.006290644076758234,55.0,3.6823812,
47,DimeNet,40.0,43.0,13.0,2.0,2.0,10.0,7.0,6.0,3.0,1.0,[116],0.00990011833513204,83.0,4.201771,
46,DimeNet,41.0,39.0,12.0,2.0,2.0,5.0,7.0,6.0,4.0,2.0,"[115, 107]",0.006417781817339827,83.0,4.1790867,
48,DimeNet,42.0,43.0,13.0,2.0,2.0,12.0,7.0,6.0,3.0,2.0,"[151, 177]",0.009999639031509867,84.0,2572120600.0,
49,DimeNet,42.0,25.0,13.0,2.0,2.0,13.0,7.0,5.0,3.0,1.0,[117],0.00958851350634229,23.0,375.35474,
34,,,,,,,,,,,,,,,,3.2707558
